num_threads,execution_time
1,0.658446
2,0.608547
3,0.443773
4,0.459246
5,0.331495
6,0.352273
7,0.301423
8,0.298777
9,0.323065
10,0.318368
11,0.308151
12,0.321483
13,0.279038
14,0.294164
15,0.258603
16,0.268860
17,0.254976
18,0.250110
19,0.227126
20,0.233709
21,0.226991
22,0.233420
23,0.228655
24,0.254943
25,0.248480
26,0.251304
27,0.243188
28,0.243948
29,0.241126
30,0.238123
31,0.249444
32,0.240156
33,0.242826
34,0.246243
35,0.234553
36,0.246477
37,0.211636
38,0.232851
39,0.218347
40,0.203539
41,0.194969
42,0.198806
43,0.175569
44,0.178214
45,0.168183
46,0.174094
47,0.169246
48,0.174385
49,0.169564
50,0.183762
51,0.175935
52,0.183341
53,0.164245
54,0.166316
55,0.174051
56,0.164875
57,0.151884
58,0.161972
59,0.165373
60,0.168795
61,0.169067
62,0.177922
63,0.175301
64,0.161576
65,0.150290
66,0.142587
67,0.144449
68,0.140778
69,0.151240
70,0.147169
71,0.137381
72,0.136494
73,0.135465
74,0.139657
75,0.148565
76,0.154528
77,0.141259
78,0.159415
79,0.136750
80,0.148942
81,0.136407
82,0.139676
83,0.134055
84,0.144653
85,0.148248
86,0.149336
87,0.143545
88,0.149284
89,0.131604
90,0.143098
91,0.141465
92,0.157641
93,0.146768
94,0.161846
95,0.147054
96,0.147634
97,0.138481
98,0.139898
99,0.133576
100,0.136533
101,0.133860
102,0.137313
103,0.131958
104,0.134837
105,0.223618
106,0.151278
107,0.146277
108,0.141547
109,0.127068
110,0.126454
111,0.121295
112,0.123399
113,0.127540
114,0.136430
115,0.131567
116,0.128756
117,0.123202
118,0.125024
119,0.124627
120,0.132063
121,0.127660
122,0.133880
123,0.122725
124,0.118413
125,0.126407
126,0.132570
127,0.131963
128,0.138562
129,0.144751
130,0.133892
131,0.126446
132,0.129616
133,0.126446
134,0.129478
135,0.130671
136,0.127592
137,0.121613
138,0.119904
139,0.125882
140,0.128323
141,0.119635
142,0.118959
143,0.111918
144,0.126445
145,0.132902
146,0.136924
147,0.131246
148,0.127382
149,0.128533
150,0.129323
151,0.124805
152,0.128708
153,0.123811
154,0.126656
155,0.121570
156,0.124047
157,0.121991
158,0.129937
159,0.123200
160,0.124939
161,0.124432
162,0.131447
163,0.121989
164,0.126331
165,0.124658
166,0.129773
167,0.124892
168,0.122266
169,0.123521
170,0.122395
171,0.123114
172,0.122893
173,0.116908
174,0.122628
175,0.134524
176,0.119954
177,0.124844
178,0.120921
179,0.125792
180,0.127749
181,0.129885
182,0.130710
183,0.118814
184,0.120537
185,0.124610
186,0.124814
187,0.123288
188,0.117089
189,0.128586
190,0.124928
191,0.118453
192,0.114055
193,0.116699
194,0.116839
195,0.115582
196,0.117775
197,0.115146
198,0.118578
199,0.113428
200,0.116462
