num_threads,execution_time
1,0.764562
2,0.479795
3,0.504239
4,0.407427
5,0.517609
6,0.537091
7,0.538504
8,0.476395
9,0.461571
10,0.481977
11,0.467340
12,0.448356
13,0.429128
14,0.414632
15,0.408433
16,0.415272
17,0.412761
18,0.398954
19,0.413326
20,0.400619
21,0.418992
22,0.407370
23,0.404537
24,0.402071
25,0.403313
26,0.410878
27,0.390993
28,0.401935
29,0.411190
30,0.416921
31,0.421040
32,0.413329
33,0.421368
34,0.426093
35,0.427340
36,0.412443
37,0.413917
38,0.423015
39,0.410827
40,0.409989
41,0.396680
42,0.416512
43,0.413619
44,0.405530
45,0.394917
46,0.393828
47,0.398941
48,0.397909
49,0.391061
50,0.389488
51,0.391367
52,0.388777
53,0.390922
54,0.389744
55,0.394785
56,0.388474
57,0.387621
58,0.401334
59,0.391299
60,0.391205
61,0.401613
62,0.397701
63,0.392900
64,0.399374
65,0.391927
66,0.392565
67,0.401009
68,0.400446
69,0.386702
70,0.398527
71,0.387518
72,0.393773
73,0.387527
74,0.387819
75,0.388667
76,0.385208
77,0.395704
78,0.391749
79,0.399118
80,0.391065
81,0.391397
82,0.388507
83,0.395591
84,0.390065
85,0.393973
86,0.397039
87,0.387708
88,0.390292
89,0.390920
90,0.391567
91,0.390815
92,0.392346
93,0.391752
94,0.389531
95,0.387829
96,0.386452
97,0.395415
98,0.388947
99,0.395097
100,0.400548
101,0.392111
102,0.388874
103,0.391105
104,0.393537
105,0.391963
106,0.385941
107,0.395431
108,0.392744
109,0.389245
110,0.398427
111,0.389065
112,0.390921
113,0.390139
114,0.398283
115,0.394364
116,0.396363
117,0.390626
118,0.390504
119,0.398371
120,0.393869
121,0.391654
122,0.384366
123,0.387757
124,0.388387
125,0.388207
126,0.384019
127,0.390309
128,0.384867
129,0.388508
130,0.390566
131,0.389621
132,0.387515
133,0.387659
134,0.387562
135,0.395543
136,0.394377
137,0.393285
138,0.387851
139,0.392794
140,0.395398
141,0.396289
142,0.391392
143,0.391718
144,0.406640
145,0.390548
146,0.389926
147,0.391436
148,0.385944
149,0.390893
150,0.388606
151,0.390935
152,0.391124
153,0.390385
154,0.392468
155,0.396234
156,0.386700
157,0.387735
158,0.389746
159,0.391780
160,0.393618
161,0.387497
162,0.389785
163,0.390398
164,0.388336
165,0.392727
166,0.392960
167,0.386722
168,0.395971
169,0.395592
170,0.399021
171,0.389201
172,0.393562
173,0.393314
174,0.392911
175,0.394291
176,0.392632
177,0.393749
178,0.391226
179,0.388509
180,0.387660
181,0.391559
182,0.390195
183,0.391601
184,0.401547
185,0.392294
186,0.394945
187,0.391943
188,0.397616
189,0.390140
190,0.388963
191,0.390073
192,0.401427
193,0.393963
194,0.390312
195,0.391633
196,0.395800
197,0.394196
198,0.393829
199,0.390808
200,0.390917
