num_thread,execution_time
1,3.076903
2,4.282623
3,5.147925
4,4.777379
5,5.548779
6,5.290821
7,5.081333
8,5.539762
9,5.377628
10,4.876190
11,5.343017
12,5.150606
13,5.267312
14,4.750528
15,4.826722
16,4.897115
17,4.743009
18,4.705002
19,4.819648
20,4.875934
21,4.689215
22,4.734881
23,4.723692
24,4.686850
25,4.835876
26,4.737306
27,5.038219
28,5.091107
29,4.879145
30,4.744043
31,4.897988
32,5.200464
33,5.547625
34,5.387950
35,4.988674
36,5.141371
37,5.798472
38,5.424700
39,5.472874
40,5.350613
41,5.435576
42,5.203062
43,5.177257
44,4.991484
45,5.226059
46,5.366918
47,5.439563
48,5.871594
49,5.807426
50,5.961127
51,5.126683
52,5.143243
53,5.287657
54,5.778924
55,5.322427
56,5.322112
57,5.019665
58,5.237640
59,5.691296
60,5.835995
61,5.336805
62,5.091240
63,5.578657
64,6.089991
65,6.266296
66,6.024686
67,5.332404
68,5.163324
69,5.384442
70,5.600047
71,5.251404
72,5.234733
73,5.293268
74,5.647748
75,5.602036
76,5.438812
77,5.436850
78,5.587362
79,5.320693
80,5.104468
81,5.170705
82,5.380726
83,5.286386
84,4.991148
85,4.880668
86,5.134761
87,5.323572
88,5.529357
89,5.235383
90,4.967223
91,4.790469
92,5.290950
93,5.367829
94,5.526394
95,5.295533
96,5.056551
97,5.044065
98,5.346888
99,5.457333
