num_threads,execution_time
1,0.370774
2,2.590135
3,3.265621
4,3.215333
5,3.220046
6,3.277121
7,3.261334
8,3.148242
9,3.233103
10,3.307969
11,3.249947
12,3.321219
13,3.315042
14,3.307114
15,3.246952
16,3.297346
17,3.239660
18,3.301996
19,3.291960
20,3.319948
21,3.239891
22,3.285783
23,3.240009
24,3.296582
25,3.271450
26,3.158913
27,3.252362
28,3.244205
29,3.220279
30,3.246666
31,3.240707
32,3.304273
33,3.251900
34,3.211701
35,3.023198
36,3.283603
37,3.251007
38,3.289702
39,3.277372
40,3.284318
41,3.295280
42,3.203840
43,3.193087
44,3.206491
45,3.241596
46,3.313536
47,3.211608
48,3.294089
49,3.271303
50,3.214455
51,3.203850
52,3.300855
53,3.135574
54,3.287578
55,3.256171
56,3.289585
57,3.222708
58,3.370220
59,3.235860
60,3.295643
61,3.211231
62,3.159519
63,3.270145
64,3.212946
65,3.268221
66,3.296939
67,3.253463
68,3.140149
69,3.297670
70,3.343330
71,3.224009
72,3.270398
73,3.265619
74,3.318161
75,3.330952
76,3.283947
77,3.328304
78,3.315014
79,3.265613
80,3.234440
81,3.290255
82,3.390080
83,3.290301
84,3.328600
85,3.202512
86,3.298370
87,3.269690
88,3.283338
89,3.250938
90,3.329017
91,3.271964
92,3.344512
93,3.315537
94,3.272633
95,3.300910
96,3.311236
97,3.246892
98,3.288395
99,3.283498
