Tiempo paralelo es 3.582761  Thread 1  
Tiempo paralelo es 5.174431  Thread 2  
Tiempo paralelo es 8.141719  Thread 3  
Tiempo paralelo es 7.651173  Thread 4  
Tiempo paralelo es 8.966738  Thread 5  
Tiempo paralelo es 8.286909  Thread 6  
Tiempo paralelo es 7.509624  Thread 7  
Tiempo paralelo es 8.335418  Thread 8  
Tiempo paralelo es 8.999442  Thread 9  
Tiempo paralelo es 7.893966  Thread 10  
Tiempo paralelo es 8.721578  Thread 11  
Tiempo paralelo es 8.581312  Thread 12  
Tiempo paralelo es 8.046686  Thread 13  
Tiempo paralelo es 7.801181  Thread 14  
Tiempo paralelo es 7.658824  Thread 15  
Tiempo paralelo es 8.878850  Thread 16  
Tiempo paralelo es 8.200656  Thread 17  
Tiempo paralelo es 8.534772  Thread 18  
Tiempo paralelo es 8.150828  Thread 19  
Tiempo paralelo es 8.032530  Thread 20  
Tiempo paralelo es 8.152529  Thread 21  
Tiempo paralelo es 8.889872  Thread 22  
Tiempo paralelo es 8.413937  Thread 23  
Tiempo paralelo es 7.846087  Thread 24  
Tiempo paralelo es 7.877789  Thread 25  
Tiempo paralelo es 8.286173  Thread 26  
Tiempo paralelo es 8.749056  Thread 27  
Tiempo paralelo es 8.211806  Thread 28  
Tiempo paralelo es 7.942575  Thread 29  
Tiempo paralelo es 8.253632  Thread 30  
Tiempo paralelo es 8.243316  Thread 31  
Tiempo paralelo es 7.925017  Thread 32  
Tiempo paralelo es 8.447223  Thread 33  
Tiempo paralelo es 8.166471  Thread 34  
Tiempo paralelo es 7.856442  Thread 35  
Tiempo paralelo es 8.019696  Thread 36  
Tiempo paralelo es 8.471032  Thread 37  
Tiempo paralelo es 7.871661  Thread 38  
Tiempo paralelo es 8.230841  Thread 39  
Tiempo paralelo es 8.044252  Thread 40  
Tiempo paralelo es 7.981920  Thread 41  
Tiempo paralelo es 8.353968  Thread 42  
Tiempo paralelo es 8.262367  Thread 43  
Tiempo paralelo es 8.118260  Thread 44  
Tiempo paralelo es 8.110951  Thread 45  
Tiempo paralelo es 8.025902  Thread 46  
Tiempo paralelo es 8.079390  Thread 47  
Tiempo paralelo es 7.991800  Thread 48  
Tiempo paralelo es 8.237806  Thread 49  
Tiempo paralelo es 8.044282  Thread 50  
Tiempo paralelo es 8.338461  Thread 51  
Tiempo paralelo es 8.069822  Thread 52  
Tiempo paralelo es 8.421099  Thread 53  
Tiempo paralelo es 8.326402  Thread 54  
Tiempo paralelo es 8.833451  Thread 55  
Tiempo paralelo es 7.987350  Thread 56  
Tiempo paralelo es 8.128284  Thread 57  
Tiempo paralelo es 7.742334  Thread 58  
Tiempo paralelo es 7.883084  Thread 59  
Tiempo paralelo es 7.814877  Thread 60  
Tiempo paralelo es 8.472886  Thread 61  
Tiempo paralelo es 8.383391  Thread 62  
Tiempo paralelo es 8.146338  Thread 63  
Tiempo paralelo es 8.297107  Thread 64  
Tiempo paralelo es 8.325262  Thread 65  
Tiempo paralelo es 7.928640  Thread 66  
Tiempo paralelo es 8.180112  Thread 67  
Tiempo paralelo es 8.196777  Thread 68  
Tiempo paralelo es 8.720035  Thread 69  
Tiempo paralelo es 9.116550  Thread 70  
Tiempo paralelo es 8.291463  Thread 71  
Tiempo paralelo es 8.301664  Thread 72  
Tiempo paralelo es 8.769666  Thread 73  
Tiempo paralelo es 8.530884  Thread 74  
Tiempo paralelo es 8.045570  Thread 75  
Tiempo paralelo es 8.319991  Thread 76  
Tiempo paralelo es 8.315183  Thread 77  
Tiempo paralelo es 8.106460  Thread 78  
Tiempo paralelo es 7.865391  Thread 79  
Tiempo paralelo es 7.871990  Thread 80  
Tiempo paralelo es 7.930715  Thread 81  
Tiempo paralelo es 8.752367  Thread 82  
Tiempo paralelo es 8.405175  Thread 83  
Tiempo paralelo es 7.925351  Thread 84  
Tiempo paralelo es 7.411678  Thread 85  
Tiempo paralelo es 8.254886  Thread 86  
Tiempo paralelo es 7.965893  Thread 87  
Tiempo paralelo es 7.904909  Thread 88  
Tiempo paralelo es 8.470705  Thread 89  
Tiempo paralelo es 8.102512  Thread 90  
Tiempo paralelo es 8.206314  Thread 91  
Tiempo paralelo es 7.519397  Thread 92  
Tiempo paralelo es 8.216317  Thread 93  
Tiempo paralelo es 7.668702  Thread 94  
Tiempo paralelo es 8.001685  Thread 95  
Tiempo paralelo es 7.893749  Thread 96  
Tiempo paralelo es 7.793250  Thread 97  
Tiempo paralelo es 7.885315  Thread 98  
Tiempo paralelo es 7.811680  Thread 99  
