Tiempo paralelo es 0.283763  Thread 1  
Tiempo paralelo es 3.198844  Thread 2  
Tiempo paralelo es 1.904144  Thread 3  
Tiempo paralelo es 3.449146  Thread 4  
Tiempo paralelo es 3.314143  Thread 5  
Tiempo paralelo es 3.517292  Thread 6  
Tiempo paralelo es 2.671166  Thread 7  
Tiempo paralelo es 2.640854  Thread 8  
Tiempo paralelo es 2.631896  Thread 9  
Tiempo paralelo es 3.082782  Thread 10  
Tiempo paralelo es 2.912666  Thread 11  
Tiempo paralelo es 2.919810  Thread 12  
Tiempo paralelo es 3.065174  Thread 13  
Tiempo paralelo es 3.072451  Thread 14  
Tiempo paralelo es 3.156363  Thread 15  
Tiempo paralelo es 2.887324  Thread 16  
Tiempo paralelo es 2.864184  Thread 17  
Tiempo paralelo es 3.261460  Thread 18  
Tiempo paralelo es 3.523892  Thread 19  
Tiempo paralelo es 3.398197  Thread 20  
Tiempo paralelo es 3.592322  Thread 21  
Tiempo paralelo es 3.644331  Thread 22  
Tiempo paralelo es 3.228029  Thread 23  
Tiempo paralelo es 3.830414  Thread 24  
Tiempo paralelo es 3.584548  Thread 25  
Tiempo paralelo es 3.756407  Thread 26  
Tiempo paralelo es 3.619888  Thread 27  
Tiempo paralelo es 3.693072  Thread 28  
Tiempo paralelo es 3.596370  Thread 29  
Tiempo paralelo es 3.767238  Thread 30  
Tiempo paralelo es 3.905209  Thread 31  
Tiempo paralelo es 3.906251  Thread 32  
Tiempo paralelo es 3.960891  Thread 33  
Tiempo paralelo es 3.864381  Thread 34  
Tiempo paralelo es 3.813418  Thread 35  
Tiempo paralelo es 4.005926  Thread 36  
Tiempo paralelo es 3.920398  Thread 37  
Tiempo paralelo es 4.029878  Thread 38  
Tiempo paralelo es 3.830193  Thread 39  
Tiempo paralelo es 3.847816  Thread 40  
Tiempo paralelo es 4.094034  Thread 41  
Tiempo paralelo es 4.002034  Thread 42  
Tiempo paralelo es 4.039098  Thread 43  
Tiempo paralelo es 3.977945  Thread 44  
Tiempo paralelo es 3.204930  Thread 45  
Tiempo paralelo es 3.487540  Thread 46  
Tiempo paralelo es 3.926755  Thread 47  
Tiempo paralelo es 4.022321  Thread 48  
Tiempo paralelo es 4.044279  Thread 49  
Tiempo paralelo es 4.156448  Thread 50  
Tiempo paralelo es 4.028795  Thread 51  
Tiempo paralelo es 3.875288  Thread 52  
Tiempo paralelo es 4.002372  Thread 53  
Tiempo paralelo es 3.971071  Thread 54  
Tiempo paralelo es 4.052206  Thread 55  
Tiempo paralelo es 4.024800  Thread 56  
Tiempo paralelo es 4.003148  Thread 57  
Tiempo paralelo es 4.044954  Thread 58  
Tiempo paralelo es 4.038901  Thread 59  
Tiempo paralelo es 4.053511  Thread 60  
Tiempo paralelo es 4.026977  Thread 61  
Tiempo paralelo es 4.106675  Thread 62  
Tiempo paralelo es 4.029603  Thread 63  
Tiempo paralelo es 4.033625  Thread 64  
Tiempo paralelo es 4.073373  Thread 65  
Tiempo paralelo es 4.053138  Thread 66  
Tiempo paralelo es 4.019406  Thread 67  
Tiempo paralelo es 4.063776  Thread 68  
Tiempo paralelo es 4.014596  Thread 69  
Tiempo paralelo es 3.979737  Thread 70  
Tiempo paralelo es 4.220167  Thread 71  
Tiempo paralelo es 4.055723  Thread 72  
Tiempo paralelo es 4.075611  Thread 73  
Tiempo paralelo es 3.962073  Thread 74  
Tiempo paralelo es 3.896411  Thread 75  
Tiempo paralelo es 3.937746  Thread 76  
Tiempo paralelo es 4.026087  Thread 77  
Tiempo paralelo es 4.143559  Thread 78  
Tiempo paralelo es 4.214761  Thread 79  
Tiempo paralelo es 3.984268  Thread 80  
Tiempo paralelo es 4.041896  Thread 81  
Tiempo paralelo es 4.153069  Thread 82  
Tiempo paralelo es 4.148847  Thread 83  
Tiempo paralelo es 4.037949  Thread 84  
Tiempo paralelo es 4.016300  Thread 85  
Tiempo paralelo es 3.992098  Thread 86  
Tiempo paralelo es 4.144941  Thread 87  
Tiempo paralelo es 4.031173  Thread 88  
Tiempo paralelo es 3.989101  Thread 89  
Tiempo paralelo es 4.060521  Thread 90  
Tiempo paralelo es 4.081058  Thread 91  
Tiempo paralelo es 4.001776  Thread 92  
Tiempo paralelo es 4.108658  Thread 93  
Tiempo paralelo es 4.088506  Thread 94  
Tiempo paralelo es 4.198868  Thread 95  
Tiempo paralelo es 3.999224  Thread 96  
Tiempo paralelo es 3.871484  Thread 97  
Tiempo paralelo es 4.167408  Thread 98  
Tiempo paralelo es 4.064448  Thread 99  
